Code,CompanyName,URL1,URL2,Note,URL1
44610,第一工業製薬,https://www.dks-web.co.jp/rc_pdf/rc2023m.pdf,https://www.dks-web.co.jp/rc_pdf/rc2023.pdf,,rc2023m.pdf
46120,日本ペイントホールディングス,https://www.nipponpaint-holdings.com/ir/assets/files/name/annual_report2023/IntegratedReport_2023_jp.pdf,,,IntegratedReport_2023_jp.pdf
46170,中国塗料,https://www.cmp.co.jp/library/pdf/eco/2023jp/social_environmental_2023.pdf,,社会・環境報告書,social_environmental_2023.pdf
46310,ＤＩＣ,https://www3.dic-global.com/dic-global/dic_report/dic_report_ja_2023_detail.pdf,,,dic_report_ja_2023_detail.pdf
46330,サカタインクス,https://www.inx.co.jp/pdf/sustainability/data/report/Integrated_Report_2023.pdf,,,Integrated_Report_2023.pdf
49010,富士フイルムホールディングス,https://ir.fujifilm.com/ja/investors/ir-materials/integrated-report/main/00/teaserItems1/01/linkList/0/link/fh_2023_allj_a4.pdf,,,fh_2023_allj_a4.pdf
49110,資生堂,https://corp.shiseido.com/report/jp/2023/pdf/report-jp.pdf,,,report-jp.pdf
49120,ライオン,https://www.lion.co.jp/ja/ir/library/ar/2023/pdf/ir2023.pdf,,,ir2023.pdf
49220,コーセー,https://corp.kose.co.jp/ja/sustainability/report/report2023/pdf/report2023-all.pdf,,,report2023-all.pdf
49270,ポーラ・オルビスホールディングス,https://ir.po-holdings.co.jp/ja/Library/AnnualReport/main/0/teaserItems1/016/linkList/0/link/IntegratedReport2022_A3_s.pdf,https://ir.po-holdings.co.jp/ja/Library/AnnualReport/main/0/teaserItems1/016/linkList/00/link/IntegratedReport2022_A4_s.pdf,,IntegratedReport2022_A3_s.pdf
49280,ノエビアホールディングス,https://www.noevirholdings.co.jp/ir/library/annual-reports/pdf/AR2023.pdf,,,AR2023.pdf
49960,クミアイ化学工業,https://ir.kumiai-chem.co.jp/ja/library/csr/main/0/teaserItems2/0/linkList/0/link/ar2024_all.pdf,,,ar2024_all.pdf
69880,日東電工,https://www.nitto.com/jp/ja/others/sustainability/report/2023/file/2023_all.pdf,,,2023_all.pdf
41510,協和キリン,https://ir.kyowakirin.com/ja/library/annual/main/01/teaserItems1/00/linkList/0/link/integrated_report_2023.pdf,,,integrated_report_2023.pdf
45020,武田薬品工業,https://assets-dam.takeda.com/image/upload/v1691065732/Global/Corporate-Responsibility/Corporate-Sustainability/Sustainability-Approach/AIR/Takeda_2023_Annual_Integrated_Report_JP.pdf,,,Takeda_2023_Annual_Integrated_Report_JP.pdf
45030,アステラス製薬,https://www.astellas.com/en/system/files/a729267707/astellas_ar2023_j_all_1006.pdf,,,astellas_ar2023_j_all_1006.pdf
45060,住友ファーマ,https://www.sumitomo-pharma.co.jp/ir/library/annual/pdf/2023/integrated_report2023_jpn.pdf,,,integrated_report2023_jpn.pdf
45190,中外製薬,https://www.chugai-pharm.co.jp/ir/reports_downloads/annual_reports/files/jAR2022_12_spread.pdf,https://www.chugai-pharm.co.jp/ir/reports_downloads/annual_reports/files/jAR2022_12_single.pdf,,jAR2022_12_spread.pdf
45210,科研製薬,https://www.kaken.co.jp/invest/library/pdf/annual_report/cr_2023.pdf,,,cr_2023.pdf
45230,エーザイ,https://www.eisai.co.jp/ir/library/annual/pdf/pdf2023vcr.pdf,,,pdf2023vcr.pdf
45270,ロート製薬,https://az758474.vo.msecnd.net/cojp/IR/Well-being_Report/2023/sp_m_ns_web_0906187892309.pdf,https://az758474.vo.msecnd.net/cojp/IR/Well-being_Report/2023/sp_m_ns_web_0906187892309.pdf,,sp_m_ns_web_0906187892309.pdf
45280,小野薬品工業,https://www.ono-pharma.com/sites/default/files/corp-report/jp/pdf/2023_15_ja.pdf,https://www.ono-pharma.com/sites/default/files/corp-report/jp/pdf/2023_14_ja.pdf,,2023_15_ja.pdf
45300,久光製薬,https://www.hisamitsu.co.jp/ir/pdf/annual/Integrated_report2023.pdf,https://www.hisamitsu.co.jp/ir/pdf/annual/Integrated_report2023_p.pdf,,Integrated_report2023.pdf
45340,持田製薬,https://www.mochida.co.jp/ir/docs/2023/ir2023.pdf,https://www.mochida.co.jp/ir/docs/2023/ir2023_p.pdf,,ir2023.pdf
45360,参天製薬,https://www.santen.com/content/dam/santen/global/pdf/ja/ir/document/202303/ar2023.pdf,,,ar2023.pdf
45470,キッセイ薬品工業,https://www.kissei.co.jp/investor/library/annual_report/uploaded/20230914_IR23J.pdf,,,20230914_IR23J.pdf
45590,ゼリア新薬工業,,,統合報告書なし,
45680,第一三共,https://www.daiichisankyo.co.jp/files/investors/library/annual_report/index/VR2023/VR2023_JP_full.pdf,,,VR2023_JP_full.pdf
45690,杏林製薬,https://www.kyorin-pharm.co.jp/docs/pdf/ir/ar23/AR2023JA.pdf,https://www.kyorin-pharm.co.jp/docs/pdf/ir/ar23/AR2023JA_A4.pdf,,AR2023JA.pdf
45780,大塚ホールディングス,https://www.otsuka.com/jp/ir/library/pdf/annual/2022_all_a4.pdf,,,2022_all_a4.pdf
50190,出光興産,https://ssl4.eir-parts.net/doc/5019/ir_material33/221901/00.pdf,https://ssl4.eir-parts.net/doc/5019/ir_material33/222685/00.pdf,,00.pdf
50200,ＥＮＥＯＳホールディングス,https://ssl4.eir-parts.net/doc/5020/ir_material_for_fiscal_ym3/142283/00.pdf,,,00.pdf
51010,横浜ゴム,https://www.y-yokohama.com/sustainability/information/backnumber/pdf/2023/sustainability2023_a3.pdf,https://www.y-yokohama.com/sustainability/information/backnumber/pdf/2023/sustainability2023_a4.pdf,,sustainability2023_a3.pdf
51080,ブリヂストン,https://www.bridgestone.co.jp/ir/library/integrated_report/pdf/2023/ir2023_spread.pdf,https://www.bridgestone.co.jp/ir/library/integrated_report/pdf/2023/ir2023_single.pdf,,ir2023_spread.pdf
52320,住友大阪セメント,https://www.soc.co.jp/sys/wp-content/themes/soc/assets/pdf/ir/document/document04/soc_InR_2023.pdf,,,soc_InR_2023.pdf
53100,東洋炭素,https://ssl4.eir-parts.net/doc/5310/announcement/93091/00.pdf,,,00.pdf
53330,日本碍子,https://www.ngk.co.jp/sustainability/pdf/2023/ngk2023_a3.pdf,https://www.ngk.co.jp/sustainability/pdf/2023/ngk2023.pdf,,ngk2023_a3.pdf
53340,日本特殊陶業,https://www.ngkntk.co.jp/resource/pdf/ir_integration_report_07.pdf,,,ir_integration_report_07.pdf
54010,日本製鉄,https://www.nipponsteel.com/ir/library/pdf/nsc_jp_ir_2023_all_a3.pdf,https://www.nipponsteel.com/ir/library/pdf/nsc_jp_ir_2023_all_a4.pdf,,nsc_jp_ir_2023_all_a3.pdf
54060,神戸製鋼所,https://www.kobelco.co.jp/about_kobelco/outline/integrated-reports/files/integrated-reports2023.pdf,,,integrated-reports2023.pdf
54110,ＪＦＥホールディングス,https://www.jfe-holdings.co.jp/investor/library/group-report/2023/pdf/all.pdf,https://www.jfe-holdings.co.jp/investor/library/group-report/2023/pdf/all_A4.pdf,,all.pdf
57110,三菱マテリアル,https://ssl4.eir-parts.net/doc/5711/ir_material_for_fiscal_ym6/138825/00.pdf,https://ssl4.eir-parts.net/doc/5711/ir_material_for_fiscal_ym6/138826/00.pdf,,00.pdf
57270,東邦チタニウム,https://www.toho-titanium.co.jp/pdf/csr/csr_2023.pdf,,,csr_2023.pdf
58020,住友電気工業,https://sumitomoelectric.com/jp/sites/japan/files/2023-10/download_documents/integratedreport2023.pdf,,,integratedreport2023.pdf
60130,タクマ,https://www.takuma.co.jp/sustainability/pdf/csr_report/2023/CSR-report-2023.pdf,,CSR報告書,CSR-report-2023.pdf
63260,クボタ,https://www.kubota.co.jp/ir/financial/integrated/integrated-report/data/integratedreport2023-a3-full.pdf,https://www.kubota.co.jp/ir/financial/integrated/integrated-report/data/integratedreport2023-a4-full.pdf,,integratedreport2023-a3-full.pdf
63320,月島ホールディングス,https://pdf.irpocket.com/C6332/cXlT/PToC/Tlj1.pdf,,,Tlj1.pdf
63610,荏原製作所,https://www.ebara.co.jp/ir/library/annual-report/pdf/INT23_a3_JP.pdf,https://www.ebara.co.jp/ir/library/annual-report/pdf/INT23_a4_JP.pdf,,INT23_a3_JP.pdf
63670,ダイキン工業,https://www.daikin.co.jp/-/media/Project/Daikin/daikin_co_jp/investor/library/annual/2023/2023-pdf.pdf,,,2023-pdf.pdf
63700,栗田工業,https://ir.kurita.co.jp/downloads/pdf/annual_2023.pdf,https://ir.kurita.co.jp/downloads/pdf/annual_2023_print.pdf,,annual_2023.pdf
64720,ＮＴＮ,https://www.ntn.co.jp/japan/investors/pdf/annual/ntn_report2023.pdf,,,ntn_report2023.pdf
64900,日本ピラー工業,https://media.nippon-pillar.com/assets/pdf/d9e72bba810b4c1e48ca3fc4744f4616256c365d.pdf,https://media.nippon-pillar.com/assets/pdf/f83464b1deb7cafe7e2952247e65f0e5aea60438.pdf,,d9e72bba810b4c1e48ca3fc4744f4616256c365d.pdf
70110,三菱重工業,https://www.mhi.com/jp/finance/library/annual/pdf/report_2023_a3.pdf,https://www.mhi.com/jp/finance/library/annual/pdf/report_2023.pdf,,report_2023_a3.pdf
70130,ＩＨＩ,https://www.ihi.co.jp/ir/library/annual/pdf/integrated2023_all.pdf,,,integrated2023_all.pdf
