start_station_id,start_station_name,start_lat,start_lng,ride_count
196,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,8300
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,8246
165,Clark St & Grace St,41.95078,-87.659172,8119
143,Sedgwick St & Webster Ave,41.922167,-87.638888,7981
320,Loomis St & Lexington St,41.872187,-87.661501,7957
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,7864
20,Sheffield Ave & Kingsbury St,41.910522,-87.653106,7863
36,Franklin St & Jackson Blvd,41.877708,-87.635321,7845
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,7772
31,Franklin St & Chicago Ave,41.896747,-87.635668,7672
93,Sheffield Ave & Willow St,41.913688,-87.652855,7657
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,7634
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,7633
164,Franklin St & Lake St,41.885837,-87.6355,7546
66,Clinton St & Lake St,41.885637,-87.641823,7521
627,LaSalle Dr & Huron St,41.894877,-87.632326,7513
134,Peoria St & Jackson Blvd,41.877642,-87.649618,7493
226,Racine Ave & Belmont Ave,41.939743,-87.658865,7484
465,Marine Dr & Ainslie St,41.9716,-87.650154,7393
256,Broadway & Sheridan Rd,41.952833,-87.649993,7365
111,Sedgwick St & Huron St,41.894666,-87.638437,7192
51,Clark St & Randolph St,41.884576,-87.63189,7182
48,Larrabee St & Kingsbury St,41.897764,-87.642884,7164
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,7137
7,Field Blvd & South Water St,41.886349,-87.617517,7111
107,Desplaines St & Jackson Blvd,41.878287,-87.643909,7106
620,Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536,7013
273,Michigan Ave & 18th St,41.857813,-87.62455,6997
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,6963
287,Franklin St & Monroe St,41.880317,-87.635185,6929
106,State St & Pearson St,41.897448,-87.628722,6898
175,Wells St & Polk St,41.872596,-87.633502,6799
153,Southport Ave & Wellington Ave,41.935733,-87.663576,6778
67,Sheffield Ave & Fullerton Ave,41.925602,-87.653708,6739
17,Honore St & Division St,41.903119,-87.673935,6729
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,6516
224,Halsted St & Willow St,41.913865,-87.648755,6453
359,Larrabee St & Division St,41.903486,-87.643353,6452
463,Clark St & Berwyn Ave,41.977997,-87.668047,6435
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,6433
264,Stetson Ave & South Water St,41.886835,-87.62232,6428
219,Damen Ave & Cortland St,41.915983,-87.677335,6420
87,Racine Ave & Fullerton Ave,41.925563,-87.658404,6359
13008,Millennium Park,41.881032,-87.624084,6231
96,Desplaines St & Randolph St,41.884616,-87.644571,6224
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,6170
288,Larrabee St & Armitage Ave,41.918084,-87.643749,6148
454,Broadway & Granville Ave,41.99478,-87.660285,6143
34,Cannon Dr & Fullerton Ave,41.926756,-87.634429,6108
91,Clinton St & Washington Blvd,41.88338,-87.64117,6070
197,Michigan Ave & Madison St,41.882134,-87.625125,6067
21,Aberdeen St & Jackson Blvd,41.877726,-87.654787,6063
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,6060
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,6051
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,6006
128,Damen Ave & Chicago Ave,41.895769,-87.67722,6006
344,Ravenswood Ave & Lawrence Ave,41.96909,-87.674237,5966
60,Dayton St & North Ave,41.910578,-87.649422,5921
192,Canal St & Adams St,41.879255,-87.639904,5920
154,Southport Ave & Belmont Ave,41.93949,-87.66378,5910
86,Eckhart Park,41.896373,-87.660984,5907
123,California Ave & Milwaukee Ave,41.922695,-87.697153,5884
72,Wabash Ave & 16th St,41.860384,-87.625813,5878
39,Wabash Ave & Adams St,41.879472,-87.625689,5859
46,Wells St & Walton St,41.89993,-87.63443,5777
293,Broadway & Wilson Ave,41.965221,-87.658139,5776
322,Kimbark Ave & 53rd St,41.799568,-87.594747,5701
417,Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,5689
54,Ogden Ave & Chicago Ave,41.896362,-87.654061,5686
186,Ogden Ave & Race Ave,41.891795,-87.658751,5682
306,Sheridan Rd & Buena Ave,41.958494,-87.654966,5617
29,Noble St & Milwaukee Ave,41.90068,-87.6626,5616
338,Calumet Ave & 18th St,41.857611,-87.619407,5615
326,Clark St & Leland Ave,41.967096,-87.667429,5604
92,Carpenter St & Huron St,41.894556,-87.653449,5559
294,Broadway & Berwyn Ave,41.978353,-87.659753,5546
190,Southport Ave & Wrightwood Ave,41.928773,-87.663913,5546
16,Paulina Ave & North Ave,41.910337,-87.670072,5511
342,Wolcott Ave & Polk St,41.871262,-87.673688,5483
283,LaSalle St & Jackson Blvd,41.878166,-87.631929,5445
325,Clark St & Winnemac Ave,41.97334,-87.66778,5401
98,LaSalle St & Washington St,41.882664,-87.63253,5342
295,Broadway & Argyle St,41.973815,-87.65966,5290
130,Damen Ave & Division St,41.903266,-87.678435,5267
125,Rush St & Hubbard St,41.890173,-87.626185,5229
22,May St & Taylor St,41.869482,-87.655486,5229
636,Orleans St & Hubbard St,41.890028,-87.636618,5174
237,MLK Jr Dr & 29th St,41.842052,-87.617,5140
383,Paulina St & Flournoy St,41.87295,-87.66913,5129
73,Jefferson St & Monroe St,41.880422,-87.642746,5058
5,State St & Harrison St,41.874053,-87.627716,5026
13042,Michigan Ave & Oak St,41.90096,-87.623777,5012
638,Clinton St & Jackson Blvd,41.878116,-87.639838,4939
116,Western Ave & Winnebago Ave,41.91552,-87.687022,4921
183,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,4920
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,4906
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,4845
241,Morgan St & Polk St,41.871737,-87.65103,4780
58,Marshfield Ave & Cortland St,41.916017,-87.668879,4773
635,Fairbanks St & Superior St,41.895748,-87.620104,4769
346,Ada St & Washington Blvd,41.88283,-87.661206,4685
461,Broadway & Ridge Ave,41.984045,-87.660274,4658
233,Sangamon St & Washington Blvd,41.883165,-87.6511,4561
423,University Ave & 57th St,41.791478,-87.599861,4544
80,Aberdeen St & Monroe St,41.880419,-87.655519,4489
621,Aberdeen St & Randolph St,41.884114,-87.654264,4343
374,Western Ave & Walton St,41.898418,-87.686596,4314
57,Clinton St & Roosevelt Rd,41.867118,-87.641088,4304
657,Wood St & Augusta Blvd,41.899181,-87.6722,4277
458,Broadway & Thorndale Ave,41.989743,-87.660141,4276
33,State St & Van Buren St,41.877181,-87.627844,4254
624,Dearborn St & Van Buren St,41.876268,-87.629155,4178
13263,Columbus Dr & Randolph St,41.884728,-87.619521,4146
343,Racine Ave & Wrightwood Ave,41.928887,-87.658971,4134
15544,Shedd Aquarium,41.867226,-87.615355,4115
37,Dearborn St & Adams St,41.879356,-87.629791,4111
323,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,4046
138,Clybourn Ave & Division St,41.904613,-87.640552,4030
460,Clark St & Bryn Mawr Ave,41.983593,-87.669154,4021
120,Wentworth Ave & Cermak Rd,41.853085,-87.631931,3956
45,Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,3923
13045,Dearborn St & Erie St,41.893992,-87.629318,3917
318,Southport Ave & Irving Park Rd,41.954177,-87.664358,3909
426,Ellis Ave & 60th St,41.785097,-87.601073,3906
345,Lake Park Ave & 56th St,41.793242,-87.587782,3904
364,Larrabee St & Oak St,41.900219,-87.642985,3889
394,Clark St & 9th St (AMLI),41.870816,-87.631246,3868
19,Throop (Loomis) St & Taylor St,41.868968,-87.659141,3858
596,Benson Ave & Church St,42.048214,-87.683485,3845
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,3841
307,Southport Ave & Clybourn Ave,41.920771,-87.663712,3831
419,Lake Park Ave & 53rd St,41.799494,-87.58645,3809
27,Larrabee St & North Ave,41.91021,-87.6435,3806
174,Canal St & Madison St,41.882091,-87.639833,3803
637,Wood St & Chicago Ave,41.895634,-87.672069,3793
317,Wood St & Taylor St,41.869154,-87.671045,3779
626,Delano Ct & Roosevelt Rd,41.867491,-87.63219,3752
18,Wacker Dr & Washington St,41.883132,-87.637321,3742
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,3687
148,State St & 33rd St,41.834734,-87.625813,3684
239,Western Ave & Leland Ave,41.966495,-87.688419,3655
451,Sheridan Rd & Loyola Ave,42.001044,-87.661198,3634
13001,Michigan Ave & Washington St,41.883984,-87.624684,3607
108,Halsted St & Polk St,41.87184,-87.64664,3590
298,Lincoln Ave & Belle Plaine Ave,41.956004,-87.680161,3588
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,3579
250,Ashland Ave & Wellington Ave,41.936082999999996,-87.669807,3572
234,Clark St & Montrose Ave,41.961588,-87.666036,3564
89,Financial Pl & Ida B Wells Dr,41.875024,-87.633094,3530
507,Humboldt Blvd & Armitage Ave,41.917513,-87.701809,3499
